
42","42 Coin","42"
365","365Coin","365"
404","404Coin","404"
611","SixEleven","611"
808","808","808"
888","Octocoin","888"
1337","1337","1337"
2015","2015 coin","2015"
BTC","Bitcoin","BTC"
LTC","Litecoin","LTC"
DASH","DigitalCash","DASH"
XMR","Monero","XMR"
NXT","Nxt","NXT"
ETC","Ethereum Classic","ETC"
DOGE","Dogecoin","DOGE"
ZEC","ZCash","ZEC"
BTS","Bitshares","BTS"
DGB","DigiByte","DGB"
XRP","Ripple","XRP"
BTCD","BitcoinDark","BTCD"
PPC","PeerCoin","PPC"
CRAIG","CraigsCoin","CRAIG"
XBS","Bitstake","XBS"
XPY","PayCoin","XPY"
PRC","ProsperCoin","PRC"
YBC","YbCoin","YBC"
DANK","DarkKush","DANK"
GIVE","GiveCoin","GIVE"
KOBO","KoboCoin","KOBO"
DT","DarkToken","DT"
CETI","CETUS Coin","CETI"
SUP","Supcoin","SUP"
XPD","PetroDollar","XPD"
GEO","GeoCoin","GEO"
CHASH","CleverHash","CHASH"
SPR","Spreadcoin","SPR"
NXTI","NXTI","NXTI"
WOLF","Insanity Coin","WOLF"
XDP","DogeParty","XDP"
ACOIN","ACoin","ACOIN"
AERO","Aero Coin","AERO"
ALF","AlphaCoin","ALF"
AGS","Aegis","AGS"
AMC","AmericanCoin","AMC"
ALN","AlienCoin","ALN"
APEX","ApexCoin","APEX"
ARCH","ArchCoin","ARCH"
ARG","Argentum","ARG"
ARI","AriCoin","ARI"
AUR","Aurora Coin","AUR"
AXR","AXRON","AXR"
BCX","BattleCoin","BCX"
BEN","Benjamins","BEN"
BET","BetaCoin","BET"
BITB","BitBean","BITB"
BLU","BlueCoin","BLU"
BQC","BQCoin","BQC"
XMY","MyriadCoin","XMY"
MOON","MoonCoin","MOON"
ZET","ZetaCoin","ZET"
SXC","SexCoin","SXC"
QTL","Quatloo","QTL"
ENRG","EnergyCoin","ENRG"
QRK","QuarkCoin","QRK"
RIC","Riecoin","RIC"
DGC","DigiCoin","DGC"
LIMX","LimeCoinX","LIMX"
BTB","BitBar","BTB"
CAIx","CAIx","CAIx"
BTG*","BitGem","BTG*"
BTM","BitMark","BTM"
BUK","CryptoBuk","BUK"
CACH","Cachecoin","CACH"
CAP","BottleCaps","CAP"
CBX","CryptoBullion","CBX"
CCN","CannaCoin","CCN"
CIN","CinderCoin","CIN"
CINNI","CINNICOIN","CINNI"
CXC","CheckCoin","CXC"
CLAM","CLAMS","CLAM"
CLR","CopperLark","CLR"
CMC","CosmosCoin","CMC"
CNC","ChinaCoin","CNC"
CNL","ConcealCoin","CNL"
COMM","Community Coin","COMM"
COOL","CoolCoin","COOL"
CRACK","CrackCoin","CRACK"
CRC","CraftCoin","CRC"
CRYPT","CryptCoin","CRYPT"
CSC","CasinoCoin","CSC"
DEM","eMark","DEM"
DMD","Diamond","DMD"
DRKC","DarkCash","DRKC"
DSB","DarkShibe","DSB"
DVC","DevCoin","DVC"
EAC","EarthCoin","EAC"
EFL","E-Gulden","EFL"
ELC","Elacoin","ELC"
EMC2","Einsteinium","EMC2"
EMD","Emerald","EMD"
EXCL","Exclusive Coin","EXCL"
EXE","ExeCoin","EXE"
EZC","EZCoin","EZC"
FLAP","Flappy Coin","FLAP"
FC2","Fuel2Coin","FC2"
FFC","FireflyCoin","FFC"
